Dos,Place,Nom,CLUBS UFOLEP,CLUBS Exterieurs,Fédération,Dépt,CATEGORIE 
1,1,SEVOZ LAVERDURE CELIA,UNION CYCLISTE VOIRONNAISE,,UFO,038,
2,2,TEIRLYNCK LEONIE,VELO CLUB TURRIPINOIS,,UFO,038,
