Rang,Dossard,Fédération,Dép.,Nom,Prénom,Club,Obs
1,43,,,SELIN LOIC,,UNION CYCLISTE VOIRONNAISE,
2,44,,,TEIRLYNCK GAETAN,,VELO CLUB TURRIPINOIS,
