Clst,DOS,NOM,Club,Catégorie,Rem
01,6,HERTAULT AGNES,ALPIN'S WHEEL TEAM,UFOLEP 4,
02,22,ALESSANDRI DAMIEN,TEAM 3 MASSIFS,UFOLEP 4,
03,60,GUILLERMIN ROLAND,RIVES UNION CYCLISTE,UFOLEP 4,
