Clst,DOS,NOM,Club,Catégorie,Rem
01,13,VEITH SEGOLENE,---,Féminines,
03,12,SMANS CELINE,---,Féminines,
04,8,JAVELAUD CECILE,---,Féminines,
05,11,RAHIMOVA RAHILA,---,Féminines,
06,1,ABADIE LOU ANN,---,Féminines,
07,9,LAIOLO CATHERINE,---,Féminines,
08,7,ILNICKA OCEANE,TEAM 3 MASSIFS,Féminines,
09,4,CHOUX MARINE,---,Féminines,
10,2,ALLAF CASSANDRE,---,Féminines,
,3,CASSAR CELIA,---,Féminines,DNS
,5,DESLANDES ANOUCK,---,Féminines,DNS
