Clst,DOS,NOM,Club,Catégorie,Rem
01,93,SEVOZ Célia ,UC VOIRONNAISE,Féminines,
02,94,ILNICKA Océane ,SCALE,Féminines,
03,91,TEIRLYNCK Léonie,VC TURRIPINOIS,Féminines,
