Dossard,Classement,Nom,Prénom,H/F,Fédération,Catégorie,Club,Points Prologue,Points grimpée,Points course,TOTAL POINTS
68,1,HAGE,GWENOLA,F,UFOLEP,FEM,UC VOIRON,1,1,1,3
70,2,REGHEM, LUCIE,F,FFC,FEM,UC VOIRON,2,2,3,7
69,3,ILNICKA,OCEANE,F,UFOLEP,FEM,TEAM 3 MASSIFS,3,3,2,8
