Clst,DOS,NOM,Club,Catégorie,Rem
1,25,SEVOZ LAVERDURE CELIA,UNION CYCLISTE VOIRONNAISE,Féminines,
2,22,ILNICKA OCEANE,TEAM 3 MASSIFS,Féminines,
3,21,COTE CHANTAL,TEAM 3 MASSIFS,Féminines,
4,24,SELIN KARINE,UNION CYCLISTE VOIRONNAISE,Féminines,
,23,REGHEM LUCIE,UNION CYCLISTE VOIRONNAISE,Féminines,DNF
