Place,Nom,Prénom,Club
1,ROMANET,Thomas,UC Pontcharra
2,LADURELLE,Charles,LMSC
3,SELIN,Loic,UC Voiron
AB,SORDET,Lily-Anne,UC Voiron
AB,HERNANDEZ,Raphael,UC Voiron
