Rang,Dossard,Fédération,Dép.,Nom,Prénom,Club,Obs
1,42,,,TEIRLYNCK LEONIE,,VELO CLUB TURRIPINOIS,
2,41,,,ILNICKA OCEANE,,ECHIROLLES SPRINTCLUB AMICALELAIQUE,
