,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,False,False,101,1,ALESSANDRI DAMIEN,TEAM 3 MASSIFS,cat4
1,False,False,97,2,GUILLERMIN ROLAND,UC RIVES,cat4
2,False,False,115,3,HEURARD PHILIPPE,TEAM 3 MASSIFS,cat4
3,False,False,31,4,BERNABE BRUNO,SCAL ECHIROLLES,cat4
4,False,False,-1,5,messy patrick,orcieres cycling team,cat4
5,False,False,77,6,LA RIZZA SEBASTIEN,LE FONTANIL CYCLISME,cat4
6,False,False,180,7,RIBEZZI VALENTIN,LE FONTANIL CYCLISME,cat4
7,False,False,34,8,GIRARD GUY,SCAL ECHIROLLES,cat4
8,False,False,18,9,MEYSSONNIER BERNARD,CYCLO CLUB DE GIERES,cat4
9,False,False,107,10,CARUELLE FLORENT,TEAM 3 MASSIFS,cat4
10,False,False,35,11,GLENAZ LAURENT,SCAL ECHIROLLES,cat4
11,False,False,116,12,HURSON NICOLAS,TEAM 3 MASSIFS,cat4
12,False,False,145,DNF,DJATOUT KAMEL,UC PONTCHARRA GRESIVAUDAN,cat4
13,False,False,-1,DNS,Allier Jean luc,Teyran bike,cat4
