,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,True,True,177,1,TEIRLYNCK LEONIE,VC TURRIPINOIS,F1516
1,False,False,-1,2,RUSE LULIA,UC PONTCHARRA,F1516
2,True,True,170,3,BUSSCHAERT LUCIE,VC TURRIPINOIS,F1516
