,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,False,False,-1,1,FAURE-PROST Louison,,SH
1,False,False,-1,2,LEBERT Alexis,La Motte Servolex Cyclisme,M1
2,False,False,-1,3,GAILLARD Julien,GMC38-EF,M2
3,False,False,-1,4,THOMAS Yann,VC St Quentin Fallavier,M1
4,False,False,63,5,VIDE NICOLAS,LA TRONCHE VELO SPORT,U1
5,False,False,-1,6,ARNOLD Axel,,SH
6,False,False,-1,7,REYBOZ Vincent,GMC38-EF,SH
7,False,False,-1,8,BELANGER Louison,GMC38-EF,SH
8,False,False,-1,9,ARGELÈS Clément,C2S,CJ
9,False,False,-1,10,BERGER Pierre,GMC38-EF,SH
10,False,False,-1,11,BERNE Stéphane,UC Voiron,SH
11,False,False,-1,12,BOGAERT Thibaut,GMC38-EF,SH
12,False,False,-1,13,WINTZ Damien,CM Aubervilliers 93,M1
13,False,False,-1,14,LAVAL Florian,UC Voiron,SH
14,False,False,4,15,WINTZ TIMOTHEE,ALPIN'S WHEEL TEAM,U1
15,False,False,-1,16,CASSINI Gregory,GMC38-EF,M2
16,False,False,-1,17,MEUNIER Philippe,,M2
17,False,False,-1,18,CHEVIGNON Lancelot,GMC38-EF,CJ
18,False,False,-1,19,WEINHARD Jules,,M1
19,False,False,-1,20,CHRISTIN Nicolas,Echirolles Triathlon,M2
20,False,False,-1,21,D'ANZI Nathan,Brison St Innocent Cyclisme,M1
21,False,False,-1,22,CLOITRE Guillaume,,M1
22,False,False,-1,23,BEN LAHOUSSINE Adonis,C2S,SH
23,False,False,-1,24,MEYLEU Quentin,Team Asics Trail,SH
24,False,False,-1,25,CABOCHE Sebastien,GMC38-EF,M2
25,False,False,-1,26,AMBLARD Arnaud,C2S,M1
26,False,False,-1,27,TUSHA Laurent,VC St Quentin Fallavier,SH
27,False,False,-1,28,DAVID Yann,UC VOIRON,M3
28,False,True,108,29,CHAVANON ALISON,TEAM 3 MASSIFS,U3
29,False,False,-1,30,IRISSOU Pierre-Cécil,Lac Alliance Cycliste,M1
30,False,False,-1,31,BORNARD Lénaïc,UCMV,CJ
31,False,False,-1,32,TELLECHEA Christian,UC Cognin,M3
32,False,False,-1,33,COURTIN Gregory,UC Vanoise,M2
33,False,False,-1,34,JOUBERT Pierrick,C2S,CJ
34,False,False,-1,35,LEMIÈRE Alexis,AC Bisontine,SH
35,False,False,-1,36,GRAND-DUFAY Antoine,,M2
36,False,False,-1,37,CORNET Guillaume,GUC TRIATHLON,SH
37,False,False,-1,38,MATHIEU Simon,,M1
38,False,False,-1,39,BRITO ANTUNES Matthieu,C2S,M1
39,False,False,-1,40,CHARVIN Aloïs,VSRP,CJ
40,False,False,16,41,MARMOUNIER FLORENT,CYCLO CLUB DE GIERES,U2
