,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,False,False,97,1,GUILLERMIN ROLAND,UC RIVES,U4
1,False,False,15,2,LOUPIEN VINCENT,CYCLO CLUB DE GIERES,U4
2,False,False,42,3,VIAL JACQUES,SCAL ECHIROLLES,U4
3,False,False,31,4,BERNABE BRUNO,SCAL ECHIROLLES,U4
4,False,False,115,5,HEURARD PHILIPPE,TEAM 3 MASSIFS,U4
5,False,False,96,6,CONTAL GILBERT,UC RIVES,U4
6,False,False,35,7,GLENAZ LAURENT,SCAL ECHIROLLES,U4
7,False,False,28,8,VIAL FABRICE,CYCLO CLUB DE GIERES,U4
8,False,False,107,9,CARUELLE FLORENT,TEAM 3 MASSIFS,U4
9,False,False,140,10,CARTIER MILLON RAYMOND,UC PONTCHARRA GRESIVAUDAN,U4
10,False,False,18,11,MEYSSONNIER BERNARD,CYCLO CLUB DE GIERES,U4
11,False,False,100,12,LIARD DAVID,ST CLAIR DE LA TOUR ETOILE CYCLISTE,U4
12,False,False,160,NC,LIBERT XAVIER,UC VOIRONNAISE,U4
13,False,False,163,NC,QUETIER YOANN,UC VOIRONNAISE,U4
14,False,False,7,NC,BESSARD JEAN LUC,CYCLO CLUB DE GIERES,U4
15,False,False,171,NC,CHANEL OLIVIER,VC TURRIPINOIS,U4
16,False,False,99,NC,VALERO JESUS,UC RIVES,U4
