,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,False,False,-1,01,VIGNON Paul-Eliott,UC Pontcharra Grésivaudan,15/16 ans
1,False,False,-1,01,DESCOMBES Alexis,UC Pontcharra Grésivaudan,15/16 ans
2,False,False,-1,03,MAGNIER Pierre,Vélo Club Turripinois,15/16 ans
3,False,False,-1,04,MOREAU Noa,UC Voiron,15/16 ans
4,True,True,170,05,BUSSCHAERT LUCIE,VC TURRIPINOIS,
5,True,True,177,06,TEIRLYNCK LEONIE,VC TURRIPINOIS,
6,False,False,-1,07,VALOUR Tristan,Lac Alliance Cycliste,15/16 ans
7,False,False,-1,08,GUILLAUD William,La Motte-Servolex Cyclisme,15/16 ans
8,False,False,-1,09,AUBERT Thomas,UC Pontcharra Grésivaudan,15/16 ans
9,False,False,-1,10,AMAND Charlie,La Motte-Servolex Cyclisme,15/16 ans
10,True,False,176,11,TEIRLYNCK GAETAN,VC TURRIPINOIS,15/16 ans
11,False,False,-1,12,LABORY Jérémy,Lac Alliance Cycliste,15/16 ans
12,True,True,173,13,SELIN ELODIE,VC TURRIPINOIS,
