,JEUNE,FEMME,COUREUR,RANG,NOM,CLUB,CAT
0,False,False,-1,01,MELEZE Jean-Philippe,Sud Grésivaudan Cyclisme Compétition,2ème Catégorie
1,False,False,-1,02,MOREL Philippe,Chablais Leman Sport Organisation,2ème Catégorie
2,False,False,159,03,LALLEMENT ANTOINE,UC VOIRONNAISE,2ème Catégorie
3,False,False,82,04,MONGE NICOLAS,LE FONTANIL CYCLISME,2ème Catégorie
4,False,False,-1,05,JACQUEMOD Jean-Noël,ASPES,2ème Catégorie
5,False,False,-1,06,MOREL Maxime,Chablais Leman Sport Organisation,2ème Catégorie
6,False,False,-1,07,CONTI Frédéric,La Motte-Servolex Cyclisme,2ème Catégorie
7,False,False,-1,08,AMAND Michael,La Motte-Servolex Cyclisme,2ème Catégorie
8,False,False,-1,09,LEMAIGRE Théo,GMC38-EF,2ème Catégorie
9,False,False,-1,10,LUCAS Jacques,Team Jallet Auto,2ème Catégorie
10,False,False,78,11,LISI SAMUELE,LE FONTANIL CYCLISME,2ème Catégorie
11,False,False,-1,12,PAQUET Dominique,UC Rives,2ème Catégorie
12,False,False,-1,13,MÉLÈZE Frédéric,Sud Grésivaudan Cyclisme Compétition,2ème Catégorie
13,False,False,-1,14,RECORDON Paul,UC Culoz Belley,2ème Catégorie
14,False,False,-1,15,D'ALU Christophe,Chambery Cyclisme Compétition,2ème Catégorie
15,False,False,-1,16,LEDEUIL Victor,----,2ème Catégorie
16,False,False,-1,17,DUCAL Gilles,La Motte-Servolex Cyclisme,2ème Catégorie
17,False,False,-1,18,JALLIFFIER-TALMAT Thomas,Team Vercors,2ème Catégorie
18,False,False,80,19,MAZZA FABRICE,LE FONTANIL CYCLISME,2ème Catégorie
19,False,False,-1,20,JALLIFFIER-TALMAT Patrice,Team Vercors,2ème Catégorie
20,False,False,-1,21,BARTHÉLEMY Yann,Sud Grésivaudan Cyclisme Compétition,2ème Catégorie
21,False,False,56,DNF,LORIGEON FABIEN,LA TRONCHE VELO SPORT,2ème Catégorie
22,False,False,-1,DNF,DUCROS Valentin,Chambery Cyclisme Compétition,2ème Catégorie
23,False,False,-1,DNS,MAINGOT Alexandre,Lac Alliance Cycliste,2ème Catégorie
24,False,False,-1,DNS,TRUPPA Kévin,Lac Alliance Cycliste,2ème Catégorie
